profile name,profile contributions,profile helpful votes,review title,rating,review,date of stay,trip category
steve p,73,69,Disappointing afternoon tea at the Ritz,[1.0],"We had Afternoon tea at the Ritz hotel which was a disaster from start to finish.We arrived on time and for a full seven minutes we were not at knowledged probably if we’ve been a celebrity the staff would’ve been Round us like flies round a turd.I ordered champagne which was at room temperature And the waiter said sorry about that we we didn’t know because we wear gloves. Anyway after three attempts to get the Waiter to put more ice in the ice bucket 30 minutes later the champagne was cold.We went to the Ritz because of the TV programme and the Michelin star chef who said the food has got to be right, Well when you get sandwiches with veins gristle and fat inside, I don’t think Keeping your staff in order making mass-produce sandwiches.As for the scones well you should go to Morrisons and get their best scones for for a quid at least they’ve got a lot  of fruit in them as for the Ritz Scones Bland and no fruit. Don’t get me wrong a lot of the food was okay but we did expect better.We received the bill and the waiter said three times are you going to press the tip on the card machine & I said what part of no don’t you understand.As for the Michelin star chef who made our sandwiches probably he be Better fitting tyres.", August 2020,nan
heartz321,41,8,Afternoon Tea,[5.0],"As expected, another beautiful afternoon spent at the Ritz afternoon tea. The service is faultless, very friendly at a high standard and you are well looked after.Sandwiches, cakes and tea all delicious. There is an endless supply, it is impossible to eat everything available to you in the 2 hour sitting - very generous portions for the price.Cannot wait to return again.", August 2020, Travelled as a couple
Visitor,3,4,Afternoon tea,[4.0],"Grand surroundings , overall very enjoyable experience. Staff were very attentive although a little rushed to ensure that the next ‘sitting’ could be accommodated in time. However would still revisit.", August 2020, Travelled with friends
ValleyView,19,11,Fantastic afternoon tea,[5.0],"Visited for the champagne afternoon tea at 7.30pm and had an excellent time. Aside from the beautiful decor and delicious food, the staff actually made the visit perfect. They were so friendly, professional and always on hand for everything needed. Would highly recommend and will definitely be going back!", August 2020, Travelled with friends
Eric B,51,56,Fabulous,[5.0],Stayed for 2 nights with dinner on both. Absolutely fabulous and well worth the money. Back again in London soon and guess where I will be staying/eating? Service is just fantastic and the location is perfect., March 2020, Travelled on business
Chris W,15,7,90th birthday ,[5.0],"From start to finish an experience that is a must if you like the gold standard of experiences.  Even under such difficult circumstances as covid-19 you will be comforted by the highest of trained staff. Not to stuffy, but be wary of the dress code.  Forget the price it’s a treat. This was for mother-in-law 90th birthday, unfortunately she was unable to make it. Loved all of it, especially the chicken, ham sandwiches 6 stars from start to finish", August 2020, Travelled with family
rcampbell2010,182,69,Afternoon tea... wow. ,[5.0],"Myself and my mother had afternoon tea here and could not fault any part of it. The sandwiches, pastries and scones were beautiful. The staff were very friendly and attentive and the surroundings were breathtaking. I have a nut allergy and this was taken seriously and I was given my own selection of sandwiches as some of the bread my mum got may have contained nuts. Overall this was a brilliant experience and well worth the money in my opinion.", August 2020, Travelled with family
Treats999,400,85,Impeccable ,[5.0],"We thoroughly enjoyed the champagne afternoon tea today. The food and tea were replenished as required. Excellent fayre and impeccable , efficient and friendly waiter.  We will return at the earliest opportunity!", August 2020, Travelled with family
Andrea_Watson76,253,38,Afternoon Tea,[5.0],"We finally had our Afternoon Tea. I originally booked for May but because of Covid-19 it got cancelled. We visited on 10th August and it was just fantastic. We enjoyed every minute.I ordered the Celebration Afternoon Tea as it was for mum mums birthday. The food was lovely and when we had finished each course we was offered more. We didn’t have any more which is just as well as we was all stuffed with what we had.For the cake you get a choice of 3, chocolate ganache, Victoria sponge or a traditional fruit cake. We chose the fruit cake.There was a lady playing the piano and that was really nice too.Everything about it was just great. It really is worth it and it’s highly recommended.", August 2020, Travelled with family
jop694,127,178,Excellent service........ but far too hot in the The Palm Court to enjoy properly!!  ?? Health and safety issue??,[3.0],"Afternoon tea at The Ritz.......This was a huge treat for my family and especially one of my daughters, who was celebrating her 21st birthday that day. We chose the Rose champagne afternoon tea. £76.50 each.The Palm court is beautiful and very elegant and luxurious......and of course old......this is where the problem lay. It was 34+ degrees outside and felt the same inside. The Palm court has a partial glass ceiling and very, very minimal air conditioning, 4 very small vents at the side of the room. I fully appreciate there must be building regulations that restricts the Ritz from installing air conditioning in the room and other public areas but surely a few portable air conditioning units could have been sourced?.. I believe no one would have objected or felt it degraded the room or experience. It was unbearably  hot and uncomfortable and definitely affected our (expensive) experience. The poor staff in full uniform looked uncomfortable but they were being paid to be there....we were paying for the experience!! The Ritz cannot even say it is to do with Covid as they had the 4 small vents already and other public places have air conditioning on. So I would be interested to know why they felt it was acceptable to make paying guests endure  such heat. I think our health and safety may have been compromised?Now the tea... I had emailed prior to our booking as one of my daughters has a gluten and dairy intolerance so I thought this may prove difficult and affect her experience. However I was assured several times she would be catered for.....and she was. An excellent selection  of sandwiches and 4 different cakes plus scones and coconut based cream. She loved it.My other daughter and I requested no mustard or chutney, my daughter also requested no cream cheese, I did not request that, our sandwiches were bland. We were given plain breads and dry fillings. No mayonnaise etc. The ends of the sandwich selection were turning dry and hard possibly due to the heat or maybe because we had to wait 15 minutes passed our booking time of 1.30pm to be seated( though expected to leave  by 3.30pm!!). Not very impressed. My husband who had the ‘normal’ sandwich selection had different breads and mayonnaise. The cakes however were delicious and we could also choose from the cake trolley. The sandwiches and cakes are replenished on request and you can try different teas throughout.The overall experience was special but we came away feeling we paid for where we had the tea rather than the food. It was expensive for the quality of the food overall.....but it was the Ritz and the service was exceptional. Far too hot to enjoy fully. Such a shame as so easily rectified.", August 2020,nan
Zoe A,11,5,Afternoon Tea,[5.0],"Afternoon Tea given to us as a 25th Wedding Anniversary gift. What an amazing place Fantastic food, wonderful service. Nothing was too much trouble Unlimited sandwiches and scones. Felt so safe during all the coronavirus stuff. Even brought us out a small cake with happy Anniversary on it. Thankyou for a special afternoon", August 2020, Travelled as a couple
DancingMum81,16,2,Delicious Afternoon Tea!,[5.0],"Had afternoon tea here as a birthday treat today and it was fantastic!Servers were all attentive and polite, nothing was too much trouble. Generous portions which were not only delicious but very pleasing to the eye!", August 2020, Travelled with family
LissaDEngland,130,59,Sadly disappointing,[3.0],"I booked an afternoon tea as a treat for my  husband's birthday. Firstly I  must say that both the food and service were very good. However, it was an extremely hot day and everyone in the restaurant was fanning themselves with anything to hand so we asked if there was air conditioning and was told that there was but they were not allowed to turn it on because of the danger of spreading Covid. Whilst I appreciate that they are trying to keep their customers as safe as possible it was extremely unpleasant and spoilt our experience.", August 2020, Travelled as a couple
Rivoliballroom,62,19,A touch of class at the Ritz for afternoon tea,[5.0],"Sipping a cup of  Darjeling tea  while the pianist plays 'A nightingale sang in Berkley Square'....it doesn't get much better than this in these Covid times.We were treated like Kings and Queens by the attentive waitors bringing and taking sandwiches and cakes back and forth.The cakes are worth every calorie and the scones were beautifully warm, just how I like them.Its a treat worth doing at least once in your life time...I had called ahead to try and get them to make some seperate dairy free sandwiches as I have an allergy but beware they need 24hr notice according to the lady on the phone. Our wonderful waitor Phillipo got me some sandwiches plus a complimentary glass of bubbly to apoligise for the negative receptionist. So its a 5 out of  5 as always for the Ritz....you can't beat a bit of class!!", August 2020,nan
saeb38,"1,526",123,Afternoon tea out of this world. ,[5.0],"Out of this world experience. My son took us out for a special treat. It is expensive but worth every penny. We were treated like royalty. The tea selection is good and you get a big pot, probably 4 or 5 cups. The sandwiches taste amazing. They will bring more if you like but I’d recommend not to because by the end you will not be able to eat everything. The scones are warm and the jam and clotted cream make them so good to eat. The pastries are so tasty and the presentation is so pretty. Nothing is too much for the staff. It was my wife’s birthday so they brought a  mini birthday cake. Such a surprise. I could not recommend it too highly and I will go again but only on a special occasion.", August 2020, Travelled with family
hypnomick,233,86,The Secret Garden Bar,[5.0],Came for a few drinks prior to going to a local restaurant.The patio garden is lovely with big and small tables along umbrellas in case of rain. Service is impeccable just as in the main building and the list of drinks is the same as the Ravoli Bar. Food is available but we just came for drinks., August 2020,nan
Emaba Z,6,5,Afternoon tea,[4.0],"The service was excellent and the food was good.However, we were very disappointed because the piano guy didn't turn up and so we missed out on the ambiance. There was a lot of food to go around and a lot of it couldn't be finished. Will recommend going but the piano was one of the main reasons for booking and it wasn't played.", August 2020, Travelled with family
Mrs_Jamo,26,12,Afternoon Tea,[2.0],"Just watching a programme on TV about High Tea at the Ritz and how the customer is king, can't help but think about how untrue that is given my visit last year.I booked Afternoon Tea for my mother as a Christmas present, I used their online booking system and put my debit card details in so that they could take payment.The afternoon tea itself was very nice. The desserts are almost a work of art and we had a lovely time. We finished and decided to use the ladies room before we left. On  leaving the Ladies room, a staff member approached me and asked me if I had paid. Of course I had, I booked and paid online. This was not satisfactory and I was asked to use my phone to bring up my bank statement. My phone battery was running low, so I ended up the in the kitchen so I could plug my phone into their charger to show payment while my mum waited, embarrassed.  It turns out that they don't automatically take the payment, they just take card details so they can charge if you don't show up etc. Well why not explain that? I thought I had paid, and if I haven't paid, then why not spare my blushes and just take the money from the bank details I provided without having me in the kitchen trying to prove payment?I had to apologise to my Mum on leaving because I felt like I had ruined her experience by not understanding how the payment system worked, and it became something we just don't talk about because we were so embarrassed. It was supposed to be a nice memory for us both, not something we try to forget.", January 2020,nan
Jim L,15,10,Lunch & Cocktails ,[5.0],"We love the Rivoli Bar in the Ritz Hotel London so when we found out the Secret Garden was reopening we had to visit as soon as possible. We were not disappointed the food was excellent, my wife had the Smoked Salmon Club and I had the Cheese Burger both were of the highest quality. They have a wide selections of drinks on the menu including all the favourites. The staff are friendly and very professional as you would expect. We had a lovely afternoon.", July 2020, Travelled as a couple
Paul Cooke,3,0,Amazing Service,[5.0],I had memorable stay there last October at The Ritz London. Property is precious and Service is great. from check in to check out there service is perfect. Foods are delicious. Good variety of food serving in an attractively.  Room amenities and bathrooms are precious. Hotel is really eye catching. for sure I want to visit there again after this Covid 19 issue back to normal. Really nice place to stay your holidays., October 2019,nan
Kev M,76,39,Birthday treat ,[5.0],Visited here with family and found the whole experience to be fantastic. The staff were all wearing face masks and working extremely hard in these tough conditions and as always their service was impeccable. The food was first class and to make the experience that extra special they gave my daughter a ritz teddy bear which was just great. We would certainly return again and this is a highly recommended experience., July 2020, Travelled with family
paula s,39,20,Champagne afternoon tea,[5.0],Returned once again to the London Ritz. This time to celebrate my daughter's first class university degree and I must say it was well worth it. Despite Covid everyone from the door man to the cloak room attendant and waiters made everyone feel comfortable. Their masks didn’t hide their smiles and welcoming demeanour. We’ve had afternoon tea throughout the world and no one does it like the Ritz. So good to be back and supporting this establishment. Well done to you all!, July 2020, Travelled with family
Paula H,14,0,Loved High Tea!,[5.0],No trip to London is complete without High Tea at The Ritz! I knew it would be special but had no clue it would be so spectacular!! Our waiter was over the top! It was a once in a lifetime experience! Highly recommended!, January 2020, Travelled with family
Natholidays,29,12,18th Birthday!!,[5.0],"Lovely welcome! My mother and I arrived along with my daughter for her 18th birthday treat and this hotel did not disappoint. Check in was easy. Rooms ready, beautifully decorated and lots of little extras. We had dinner in the Rivoli Bar which was lovely and the staff very attentive. Lots of variety for breakfast and the dining room was exquisite so elegant. We will return again soon, thank you for a wonderful time!", February 2020, Travelled with family
GAR4898,283,69,Sheer Opulence,[4.0],"20+ years ago when I stayed last, but it hasn't lost it's charm. Main thing that impresses is how the staff pull off the friendly approach whilst offering 'The Best Service'. Spend the money, enjoy the experience, it maybe a one-off but worth it.", February 2020,nan
radikal d,24,21,Amazing Afternoon tea ,[5.0],We went as a family of 9 to the Ritz for afternoon tea for my brothers 30th bdaycelebration. From the moment we entered we were treated fantastically by the staff. They were amazing and went out there way to make us feel welcome and attended to all our needs. The afternoon tea itself was delicious but the staff certainly made the experience hundred times better. If you have any celebration or want an afternoon tea this is the place to go. Thank you to the staff in the photo in particular for making us feel so welcome!, March 2020, Travelled with family
DeP3000,3,1,Amazing experience,[5.0],"Stay at this iconic hotel was amazing. Rooms are very specious, room service 24/7.5 o'clock tea is a must have.The location is superb!I will come back this year again for sure, always great experience!Thank you!", December 2019,nan
Nicola N,106,30,"5* Afternoon tea, a must ! ",[5.0],"If you haven’t already been, Afternoon tea at The Ritz is a must!I received a voucher for my birthday, and every part of the experience was just 5* and moreFrom the call to reserve, the friendly doorman on arrival and the staff in the restaurant all so helpful, knowledgeable and welcoming nothing was too much troubleThe tea is beyond and my expectation, everything is so fresh. We were so excited, we have treated family members to the experience and are looking to go back in the future.We are not 5* diners, and we’re not made to feel any different", September 2019, Travelled as a couple
Connie M,24,35,Glamourous but shabby rooms,[3.0],"The main parts of this hotel retain their charm and glamour, but we were shocked at the state of our room!  It seemed as though it hadn’t been upgraded since the 1950’s and was very tired indeed!  The location is great, though, and we don’t regret staying.", February 2020,nan
katherineo365,4,1,Memorable stay in the Ritz,[5.0],Wonderful hotel in fabulous surroundings. Spacious rooms and very comfortable beds. Very opulent and tastefully decorated. Excellent room service. Food in restaurant outstanding. Afternoon tea a must and  as it was my daughters 18 Birthday celebrations last August we were looked after and served by lovely waiters especially  Sebastian.  He was so pleasant kind and funny and a real Gentleman!Wonderful memories and photos for my daughter to cherish!, August 2019,nan
PassionwithPurpose,816,238,"They were amazing, especially Terry in security",[5.0],"This is going to be a bit of a strange review. I did not stay the night at this hotel, but was mugged out in front of it. FYI to anyone traveling in London, it is common for someone on a bike or motorcycle to come up behind you and snatch your smart phone right out of your hand. Luckily, Terry from the Ritz and one other person who worked at the hotel saw this happen on the hotel's security cameras. They immediately took care of me as though I were a guest. They got me water, juice, whatever else I needed. They made sure I had a phone and a computer to call my banks and cancel the cards I needed to cancel.They called the police, gave us a space to interview in the hotel and even used a house car to get me home safely since I had no credit card or cell phone to call an Uber.The hotel itself was beautiful. Very regal and elegant and perched right on the corner of St. James Park.I know this is an unconventional review, but I really could not have asked for better service from the Ritz and their team. I told them I will only stay at their hotel when I am back in London.", April 2020,nan
denniscasey,405,162,Best Hotel by Miles,[5.0],The Ritz service is very good and we asked for a disabled room and got 2 huge bathrooms. Unfortunately unless the bar we had not booked the restaurant. Seems strange that guests cannot be looked after even for several nights    It did not worry is as for breakfast the Wolseley next door was wonderful. Shepherd Market was near for dinner.  For lunch Chiltern Firehouse so lunch.  Piccadilly has the most coffee shops in London.  The Ritz service is wonderful and the standard are impeccable, August 2019, Travelled as a couple
marksgd,665,271,Great Hotel Great expirence,[5.0],"We decided to book the Ritz on the spur of the moment really. What with the Corona Virus & flights etc being cancelled. We to cancelled our holiday & decided to go to the Ritz instead. I had a Dinner for two voucher as a Xmas present so thought it would be good to go & stay a few nights & experience the Ritz. Upon arrival we were warmly greeted. Very nice speedy check in. The receptionist told us our room number on the 6th floor. showed us the lift then walked off!!!! Very suprised she did not show us to our room. The room was nice comfy bed etc .Dinner was very good service was good food was very good everything was cooked perfectly Starter was Cornish Brill  Wife had Scallops Lovley. Mains we both had the Lamb cooked perfectly sauce that was served with it was fabulous . Sweet i had the souffle this was faultless so so good.Breakfast was good but they did not have the full buffet breakfast on show for health reasons (Corona Virus) & the hotel was virtually empty so the atmosphere was not good.Upon check out i had my case & coat with me yet none of the staff opened the door for me which i find unacceptable when in Five Star hotel. It was not like they were run of there feet!!!! so there was a few things that could have been improved really.But all in all we had a good ritz experience..Would we stay at the Ritz again.....NO ,,,,we have stayed in better hotels, sorry but that's my opinion...", March 2020,nan
Elmo1989_03,"1,340",408,Dinner & Dance! ,[5.0],"Birthday treat from my lovely husband to come here for the dinner/dance eve on a Saturday. We didn’t stay over sadly in the hotel but would have loved to! It is the most beautiful hotel/restaurant I have ever set foot in and we have seen a fair few beautiful ones in our time!The staff were so welcoming and elegant dressed in white tie attire. The wine book was insanely long!! We opted for a couple of bottles of red, some bottled water and the 4 course meal. Both our menus (vegetarian for me) were sublime and well worthy of the Michelin star. My favourite was the pumpkin gnocchi oh baby and the Raspberry coconut souflee quite frankly was like s*x on a plate. Even the toilets are beautiful and the grand piano playing West End hits in the background was just the cherry on the cake. There was a live singer who was excellent and reminded me of Tony Bennett then 2 professional dancers treated us to some dancing - I wish they were on for longer I adored their tango to Roxanne! All in all it was the best night out of my life and I will return for their famous afternoon tea.", March 2020, Travelled as a couple
westsussexgang,13,16,Afternoon tea...,[5.0],I had a lovely Birthday afternoon tea with my Daughter. Every thing had the Wow factor from the minute the door man opened the door all the staff was so welcoming....it was like being taking back in time....the food was brilliant and the waiter even moved the table wear around for me because of being left handed....The only thing I can see that pulled me from the 1920 to 2020.... was the lady playing the piano was using a iPad the read her music from.... she had had it sitting on the top of the piano shame she didn’t have it where the music sheets should be.... apart from that WOW WOW WOW...., March 2020, Travelled with family
AWGPower,13,5,Opulence @ its best.,[5.0],"Having stayed here many times now, its become our 2nd home, at least thats what many of our friends say. The Hotel the Staff are the best, many have become good friends over the years and we always look forward to meeting them each time we stay. This Hotel has to be on your Bucket list to stay once in your life, if not to stay then to Dine in the Michelin-stared Restaurent or have Afternoon Tea. Signed: The Celebs as we are known.", December 2019,nan
clooney001,27,7,Fantastic Hotel,[5.0],"We arrived on March 7 and were greeted by a very helpful hotel employee.The staff were very helpful and we were shown our Queens room,the bed was extremely comfortable and the marble bathroom was huge.The room was tastefully decorated.The only thing missing was the standard kettle & tea and coffee,I rang room service to ask but was told it would be £15 per day to have a kettle provided,so decided we could manage without!!?The breakfast was superb with fruits and all the trimmings.We viewed the private dining rooms that looked fabulous.My partner was celebrating her birthday and a cake was in our room when we checked in.When we were leaving I was greeted by name by one of the conciege staff.Summing up .Fantastic Hotel.Wonderful staff,wish I had a billion pounds to buy from the Barclay Brothers.", March 2020, Travelled as a couple
Roger,8,1,Wife's Birthday (Tea at The Ritz),[5.0],"Excellent service from arrival to leaving.Beautiful decor in Palm Court Restaurant.Harp playing added to the atmosphere.Top Quality Tea presentation; plenty to eat with lovely choice of finger sandwiches, cakes and scones.A nice touch was when the Birthday Cakes were brought out with a Harp playing.", March 2020,nan
Stewart J,10,9,Drink at the Ritz? Shockingly poor service. What a waste of time and money,[1.0],"We tried to get a drink in the bar of the Ritz. We were smartly dressed, middle class professionals and sober but the staff couldn't care less and told us the bar was full (it wasn't). We then waited in the lobby area for 20 minutes with no drinks and the two cocktails we ordered (£50) eventually arrived late and gave us just 15 minuted before we needed to leave and catch our train. OK I suppose if you're more interested in ripping off tourists and oligarchs.", March 2020, Travelled on business
Jasper,39,3,Unique Character/Charming,[5.0],"Maybe the eighth stay at the Ritz; it’s always fun to stay. Newly refurbished rooms on the upper floors are truly luxurious. Fabulous breakfast; must be best in London in the dining room to die for...cool afternoon tea, ( avoid weekend too busy ) a gem of a casino downstairs, exclusive, private, unique. Overall another enjoyable stay, looking forward to the next.", February 2020, Travelled on business
Kenneth J,27,25,Afternoon Tea,[5.0],What a place to visit and have afternoon tea Staff where excellent and polite at all times and looked after us Sandwiches and cakes where delicious And even the tea tasted great I would you should try this once and we will be back, March 2020, Travelled as a couple
T_ManAberdeen,35,18,Everything You Think It Will Be,[5.0],"Even although I entitled this review ""Everything You Think It Will Be"", I'd thought otherwise until I actually stayed. That is, I'd seen the pics on this site, looked at the vids on YouTube, and thought it may not be all it's cracked up to be. I was wrong. The images don't do the place justice, and you have to experience it to fully appreciate it.The service is exceptional, the decor beautiful, and I understand why some folks feel like they're in a vintage theme park, but that's the selling point: it's harking back to a bygone era of opulence.There's a dress code, so don't complain if they don't make an exception for you and berate the ""service"" because they failed to appreciate how special you are: it's their house, so it's their rules. Go with it and enjoy it.That said, it wasn't as strict as some have written. I saw a few folks on the Saturday afternoon who weren't exactly suited & booted, and were seated in the lobby enjoying a coffee, but they were still smart (some more so than others). I also saw some folks turned away too, so not too sure what judgement call entry was made on... but if you want to be sure, don't turn up dressed to do the gardening, look like you've made some effort, and you'll be okay.We had stayed two nights, had the Ritz tea first night, dined at the Savoy the second, and had breakfast and room service at the Ritz. It was all fabulous. The price of a cup of tea or coffee in the bar/room may seem high, but you're not just getting a tea - you get the full silver service, and it's worth it. Those that moan about there being no tea making facilities in the room are really missing the point.The full Ritz tea itself is worth every penny, and we were both full by the end of it. There was plenty of sandwiches and cakes offered to us along with tea. The service was excellent, you were made to feel special, and I saw that at every table.The breakfast again, was an experience to be served with liveried waiters. The full English was surprisingly filling, and there was a good choice of fruits and patisseries etc.Room was excellent and turn down service every night. Nothing is too much trouble at the Ritz.And I never experienced any of the alleged rudeness on entering or being challenged by the doorman or staff as where I was going or what I was doing, but again, try and look like you're meant to be in the place. It really isn't that hard.Fantastic place. Has to be experienced to be fully appreciated. I will definitely return.", February 2020,nan
Mary Sophia,1,0,Fantastic Wedding Anniversary Afternoon Tea,[5.0],"A thousand thanks  for providing such a memorable afternoon tea for my dear friends Qing and Ian (Wedding Anniversary).   The tea was absolutely equisite and everyone involved ‘went the extra mile’ to ensure Qing and Ian enjoyed a Wedding Anniversary afternoon tea to remember!  The staff were delightful and courteous and the cakes provided were  scrumptious!In this day and age, it is very reassuring  to see this type of exemplary and exclusive service still exists.Thank you so much to The Ritz!👍👍", February 2020,nan
Patricia W,3,0,Top Hotel,[5.0],"From the momet you arrive at the entrance to the Ritz where you are greeted by the Doorman up until the time you leave, you are treated like a King or Queen,Everything is perfect and the wonderful Staff in every part of the Hotel are helpful friendly and not at all stuffy.Teriffic evening meal, great cocktails in the Bar and the Casino, and breakfast with everything you could want.Thank you Ritz Hotel for making our visit so memorable", March 2020,nan
carolhyde3,31,13,Afternoon tea,[5.0],"My daughter and I went for afternoon tea ( my birthday treat ) we had a wonderful time . We were shown to our table and were immediately offered tea or coffee which flowed freely ,  then the food arrived , plenty of sandwiches , smoked salmon, ham, cheese etc then there were cakes and scones with cream and jam , More sandwiches if we wanted them ! Then the cake trolley came round with more cakes . It was just a really wonderful day . It’s the second time we have been and hopefully we will go again . Excellent service .", February 2020, Travelled with family
